Time,Account,Type,Details
2025-12-21 15:42:50.104162+00:00,N/A,Privilege Escalation,
2025-12-21 15:43:04.521053+00:00,N/A,Privilege Escalation,
2025-12-21 15:43:10.867287+00:00,N/A,Privilege Escalation,
2025-12-21 15:43:13.082487+00:00,N/A,Privilege Escalation,
2025-12-21 15:43:25.938538+00:00,N/A,Privilege Escalation,
2025-12-21 15:44:32.786087+00:00,N/A,Privilege Escalation,
2025-12-21 15:44:33.412291+00:00,N/A,Privilege Escalation,
2025-12-21 15:44:37.667902+00:00,N/A,Privilege Escalation,
2025-12-21 15:45:48.046492+00:00,N/A,Privilege Escalation,
2025-12-21 15:47:17.900408+00:00,N/A,Privilege Escalation,
2025-12-21 15:49:34.221674+00:00,N/A,Privilege Escalation,
2025-12-21 15:51:27.976614+00:00,N/A,Privilege Escalation,
2025-12-21 15:52:29.733648+00:00,N/A,Privilege Escalation,
2025-12-21 15:53:32.877262+00:00,N/A,Privilege Escalation,
2025-12-21 15:55:33.022402+00:00,N/A,Privilege Escalation,
2025-12-21 15:57:17.983929+00:00,N/A,Privilege Escalation,
2025-12-21 15:58:04.613039+00:00,N/A,Privilege Escalation,
2025-12-21 16:00:07.609211+00:00,N/A,Privilege Escalation,
2025-12-21 16:01:22.786610+00:00,N/A,Privilege Escalation,
2025-12-21 16:01:24.033077+00:00,N/A,Privilege Escalation,
2025-12-21 16:03:29.903088+00:00,N/A,Privilege Escalation,
2025-12-21 16:09:09.109098+00:00,N/A,Privilege Escalation,
2025-12-21 16:13:04.722992+00:00,N/A,Privilege Escalation,
2025-12-21 16:13:37.616896+00:00,N/A,Privilege Escalation,
2025-12-21 16:15:12.926205+00:00,N/A,Privilege Escalation,
2025-12-21 16:16:27.606203+00:00,N/A,Privilege Escalation,
2025-12-21 16:16:59.903074+00:00,N/A,Privilege Escalation,
2025-12-21 16:18:29.639786+00:00,N/A,Privilege Escalation,
2025-12-21 16:18:30.402220+00:00,N/A,Privilege Escalation,
2025-12-21 16:18:40.264236+00:00,N/A,Privilege Escalation,
2025-12-21 16:19:33.229069+00:00,N/A,Privilege Escalation,
2025-12-21 16:20:53.757437+00:00,N/A,Privilege Escalation,
2025-12-21 16:24:28.449009+00:00,N/A,Privilege Escalation,
2025-12-21 16:24:29.977724+00:00,N/A,Privilege Escalation,
2025-12-21 16:26:01.366388+00:00,N/A,Privilege Escalation,
2025-12-21 16:26:05.673994+00:00,N/A,Privilege Escalation,
2025-12-21 16:30:59.507555+00:00,N/A,Privilege Escalation,
2025-12-21 16:32:46.959393+00:00,N/A,Privilege Escalation,
2025-12-21 16:32:47.920265+00:00,N/A,Privilege Escalation,
2025-12-21 16:41:05.888689+00:00,N/A,Privilege Escalation,
2025-12-21 16:44:38.788452+00:00,N/A,Privilege Escalation,
2025-12-21 16:45:49.700758+00:00,N/A,Privilege Escalation,
2025-12-21 16:46:19.811743+00:00,N/A,Privilege Escalation,
2025-12-21 16:46:48.242731+00:00,N/A,Privilege Escalation,
2025-12-21 16:46:48.665924+00:00,N/A,Privilege Escalation,
2025-12-21 16:46:55.872396+00:00,N/A,Privilege Escalation,
2025-12-21 16:48:06.442181+00:00,N/A,Privilege Escalation,
2025-12-21 16:56:06.114275+00:00,N/A,Privilege Escalation,
2025-12-21 16:58:29.919489+00:00,N/A,Privilege Escalation,
2025-12-21 17:00:46.364763+00:00,N/A,Privilege Escalation,
2025-12-21 17:02:40.008163+00:00,N/A,Privilege Escalation,
2025-12-21 17:02:40.008163+00:00,N/A,Privilege Escalation,
2025-12-21 17:02:40.538134+00:00,N/A,Privilege Escalation,
2025-12-21 17:02:41.033455+00:00,N/A,Privilege Escalation,
2025-12-21 17:02:53.029423+00:00,N/A,Privilege Escalation,
2025-12-21 17:03:03.733486+00:00,N/A,Privilege Escalation,
2025-12-22 09:41:19.294586+00:00,N/A,Privilege Escalation,
2025-12-22 09:41:19.356470+00:00,N/A,Privilege Escalation,
2025-12-22 09:41:21.817444+00:00,N/A,Privilege Escalation,
2025-12-22 09:41:22.142864+00:00,N/A,Privilege Escalation,
2025-12-22 09:41:30.128452+00:00,N/A,Privilege Escalation,
2025-12-22 09:41:30.187277+00:00,N/A,Privilege Escalation,
2025-12-22 09:43:23.122066+00:00,N/A,Privilege Escalation,
2025-12-22 09:43:24.217751+00:00,N/A,Privilege Escalation,
2025-12-22 09:45:08.505541+00:00,N/A,Privilege Escalation,
2025-12-22 09:45:22.708021+00:00,N/A,Privilege Escalation,
2025-12-22 09:46:21.142942+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:20.340618+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:21.565248+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:21.578026+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:21.581049+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:21.591314+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:21.593863+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:21.622646+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:22.324430+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:22.964121+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:24.990828+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:25.105814+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:25.820816+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:25.832535+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:25.835491+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:25.841475+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:25.843000+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:25.857771+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:26.424999+00:00,N/A,Privilege Escalation,
2025-12-22 09:47:27.021906+00:00,N/A,Privilege Escalation,
2025-12-22 09:49:23.173101+00:00,N/A,Privilege Escalation,
2025-12-22 09:51:59.298744+00:00,N/A,Privilege Escalation,
2025-12-22 09:54:30.232862+00:00,N/A,Privilege Escalation,
2025-12-22 09:55:01.187973+00:00,N/A,Privilege Escalation,
2025-12-22 09:55:02.868780+00:00,N/A,Privilege Escalation,
2025-12-22 09:55:03.912958+00:00,N/A,Privilege Escalation,
2025-12-22 09:55:28.413483+00:00,N/A,Privilege Escalation,
2025-12-22 09:56:20.400818+00:00,N/A,Privilege Escalation,
2025-12-22 10:06:51.746065+00:00,N/A,Privilege Escalation,
2025-12-22 10:08:28.837139+00:00,N/A,Privilege Escalation,
2025-12-22 10:11:36.088545+00:00,N/A,Privilege Escalation,
2025-12-22 10:26:36.191236+00:00,N/A,Privilege Escalation,
2025-12-22 10:41:27.051693+00:00,N/A,Privilege Escalation,
2025-12-22 10:41:36.290606+00:00,N/A,Privilege Escalation,
2025-12-22 10:43:29.119987+00:00,N/A,Privilege Escalation,
2025-12-22 10:43:29.862516+00:00,N/A,Privilege Escalation,
2025-12-22 10:49:29.029573+00:00,N/A,Privilege Escalation,
2025-12-22 10:54:30.242712+00:00,N/A,Privilege Escalation,
2025-12-22 10:56:36.411177+00:00,N/A,Privilege Escalation,
2025-12-22 11:11:36.498447+00:00,N/A,Privilege Escalation,
2025-12-22 11:19:32.241661+00:00,N/A,Privilege Escalation,
2025-12-22 11:19:32.579290+00:00,N/A,Privilege Escalation,
2025-12-22 11:19:34.657522+00:00,N/A,Privilege Escalation,
2025-12-22 11:22:38.995686+00:00,N/A,Privilege Escalation,
2025-12-22 11:26:36.601885+00:00,N/A,Privilege Escalation,
2025-12-22 11:41:21.760139+00:00,N/A,Privilege Escalation,
2025-12-22 11:41:21.921661+00:00,N/A,Privilege Escalation,
2025-12-22 11:41:32.025730+00:00,N/A,Privilege Escalation,
2025-12-22 11:41:36.704466+00:00,N/A,Privilege Escalation,
2025-12-22 11:42:27.670179+00:00,N/A,Privilege Escalation,
2025-12-22 11:43:34.108351+00:00,N/A,Privilege Escalation,
2025-12-22 11:43:34.868170+00:00,N/A,Privilege Escalation,
2025-12-22 11:49:34.026909+00:00,N/A,Privilege Escalation,
2025-12-22 11:54:30.203196+00:00,N/A,Privilege Escalation,
2025-12-22 11:56:36.806004+00:00,N/A,Privilege Escalation,
2025-12-22 12:11:36.905067+00:00,N/A,Privilege Escalation,
2025-12-22 12:26:36.996595+00:00,N/A,Privilege Escalation,
2025-12-22 12:36:42.542820+00:00,N/A,Privilege Escalation,
2025-12-22 12:41:36.605654+00:00,N/A,Privilege Escalation,
2025-12-22 12:41:37.082283+00:00,N/A,Privilege Escalation,
2025-12-22 12:43:38.464930+00:00,N/A,Privilege Escalation,
2025-12-22 12:43:39.204435+00:00,N/A,Privilege Escalation,
2025-12-22 12:49:38.545448+00:00,N/A,Privilege Escalation,
2025-12-22 12:50:30.405666+00:00,N/A,Privilege Escalation,
2025-12-22 12:54:30.421537+00:00,N/A,Privilege Escalation,
2025-12-22 13:05:30.031939+00:00,N/A,Privilege Escalation,
2025-12-22 13:05:30.191858+00:00,N/A,Privilege Escalation,
